id,name,parent_id,licensed
306,Mission Deep Freeze,304,0
305,Mission Deep Sea,304,0
580,Mixels,,0
278,Model Team,,0
155,Modular Buildings,,0
716,Modulex,,0
693,Monkie Kid,,1
558,Monster Fighters,,0
409,Monthly Mini Model Build,408,0
277,Mosaic,276,0
636,My Town,632,0
605,Nexo Knights,,0
785,Nike,,1
434,Ninja,,0
435,Ninjago,,0
597,Ninjago,591,0
758,Non-fiction Books,497,0
259,NXT,258,0
519,NXT,518,0
64,Off-Road,52,0
775,One Piece,,1
300,Orient Expedition,296,0
301,Other,,0
89,Outback,50,0
669,Overwatch,,1
90,Paradisa,50,0
437,Pharaoh's Quest,,0
410,Pick A Model,408,0
147,Pirates,,0
215,Pirates,207,0
651,Pirates,504,0
148,Pirates I,147,0
153,Pirates II,147,0
154,Pirates III,147,0
263,Pirates of the Caribbean,608,1
627,Planes,754,0
652,Playhouse,504,0
341,Playsets,324,0
735,Plush Toys,501,0
776,Pokémon,,1
61,Police,52,0
421,Police,411,0
736,Posters and Art Prints,501,0
438,Power Functions,,0
439,Power Miners,,0
655,Powered Up,438,0
440,Primo,,0
271,Prince of Persia,608,1
662,Princess Castle,504,0
118,Promotional,112,0
598,Promotional,,0
360,Protectors,324,0
441,Quatro,,0
91,Race,50,0
112,Racers,,0
663,Rattles,504,0
122,RC,112,0
240,RC Train,233,0
260,RCX,258,0
520,RCX,518,0
92,Res-Q,50,0
138,RoboForce,126,0
16,RoboRiders,1,0
442,Rock Raiders,,0
737,Role Play Toys and Costumes,501,0
201,Royal Knights,186,0
523,Samsonite,507,0
756,Samsonite,365,0
668,Scala,,0
603,Scooby-Doo,,1
276,Sculptures,,0
206,Seasonal,,0
738,Seasonal,501,0
536,Series 1 Minifigures,535,0
545,Series 10 Minifigures,535,0
547,Series 11 Minifigures,535,0
548,Series 12 Minifigures,535,0
551,Series 13 Minifigures,535,0
552,Series 14 Minifigures,535,0
554,Series 15 Minifigures,535,0
556,Series 16 Minifigures,535,0
611,Series 17 Minifigures,535,0
622,Series 18 Minifigures,535,0
681,Series 19 Minifigures,535,0
537,Series 2 Minifigures,535,0
692,Series 20 Minifigures,535,0
712,Series 21 Minifigures,535,0
718,Series 22 Minifigures,535,0
725,Series 23 Minifigures,535,0
743,Series 24 Minifigures,535,0
753,Series 25 Minifigures,535,0
762,Series 26 Minifigures,535,0
771,Series 27 Minifigures,535,0
786,Series 28 Minifigures,535,0
538,Series 3 Minifigures,535,0
539,Series 4 Minifigures,535,0
540,Series 5 Minifigures,535,0
541,Series 6 Minifigures,535,0
542,Series 7 Minifigures,535,0
543,Series 8 Minifigures,535,0
544,Series 9 Minifigures,535,0
510,Serious Play,507,0
443,Service Packs,,0
524,Service Packs,507,0
253,Skylines,252,0
462,Soccer,458,0
639,Sofia the First,504,1
526,Soft Bricks,507,0
747,Sonic The Hedgehog,,1
126,Space,,0
422,Space,411,0
139,Space Police I,126,0
140,Space Police II,126,0
141,Space Police III,126,0
93,Space Port,50,0
601,Speed Champions,,0
717,Speed Racer,,1
17,Speed Slammers,1,0
572,Speedorz,571,0
287,Spider-Man,279,1
706,Spider-Man,696,1
784,Spider-Man - Across the Spider-Verse,535,1
755,Spidey and His Amazing Friends,706,1
509,SPIKE,507,0
272,SpongeBob SquarePants,,1
458,Sports,,0
463,Spybotics,,0
142,Spyrius,126,0
18,Star Wars,1,1
158,Star Wars,,1
209,Star Wars,207,1
261,Star Wars,258,1
739,Stationery and Office Supplies,501,0
313,Stingrays,307,0
740,Storage,501,0
759,Story Books,497,0
680,Stranger Things,,1
273,Studios,,0
744,Stuntz,52,0
695,Super Heroes DC,,1
696,Super Heroes Marvel,,1
690,Super Mario,,1
701,Superman,695,1
19,Supplemental,1,0
143,Supplemental,126,0
241,Supplemental,233,0
371,Supplemental,365,0
473,Supplemental,465,0
528,Supplemental,507,0
365,System,,0
741,Tabletop Games and Puzzles,501,0
546,Team GB,535,0
1,Technic,,0
453,Technic,443,0
498,Technic,497,0
525,Technic,524,0
529,Technic,507,0
570,Teenage Mutant Ninja Turtles,,1
231,Thanksgiving,206,0
562,The Hobbit,561,1
561,The Hobbit and Lord of the Rings,,1
781,The Infinity Saga,696,1
764,The Legend of Zelda,,1
708,The LEGO Batman Movie,697,1
609,The LEGO Batman Movie Series 1,535,1
711,The LEGO Batman Movie Series 2,535,1
549,The LEGO Movie,535,0
578,The LEGO Movie,,0
670,The LEGO Movie II,578,0
675,The LEGO Movie II,535,0
616,The LEGO Ninjago Movie,435,0
618,The LEGO Ninjago Movie,535,0
575,The Lone Ranger,,1
566,The Lord of the Rings,561,1
720,The Muppets,535,1
654,The Powerpuff Girls,,1
550,The Simpsons Series 1,535,1
553,The Simpsons Series 2,535,1
631,Thomas & Friends,504,1
20,Throwbot Slizer,1,0
464,Time Cruisers,,0
664,Toolo,504,0
50,Town,,0
533,Town,507,0
632,Town,504,0
94,Town Jr.,50,0
104,Town Plan,50,0
372,Town Plan,365,0
275,Toy Story,,1
633,Toy Story,754,1
63,Traffic,52,0
233,Train,,0
456,Train,443,0
66,Trains,52,0
634,Trains,504,0
682,Trolls: World Tour,,1
698,UCS,697,0
144,UFO,126,0
171,Ultimate Collector Series,158,0
303,Ultra Agents,302,0
625,Unikitty!,,0
145,Unitron,126,0
21,Universal Building Set,1,0
465,Universal Building Set,,0
534,Universal Building Set,507,0
560,Universe,,0
232,Valentine,206,0
559,Value Packs,,0
423,Vehicle,411,0
742,Video Games and Accessories,501,0
713,VIDIYO,,0
474,Vikings,,0
403,Villains,400,0
778,VIP Add-On Packs,598,0
768,Wednesday,,1
521,WeDo,518,0
424,Western,411,0
475,Western,,0
665,Western,504,0
765,Wicked,,1
635,Winnie the Pooh,754,1
203,Wolfpack,186,0
105,World City,50,0
123,World Racers,112,0
707,X-Men,696,1
478,X-Pod,22,0
646,Xtra,,0
480,Znap,,0
666,Zooters,504,0
